id,caption,ownerId,ownerFullName,ownerUsername,url,commentsCount,likesCount,timestamp,hashtags
3153811540511495429,"හිතුවක්කාර පිරිමි පරාණයට ලියමි,

රුහුණ අහස කළු කර ගෙන හීනි පොදයක් ගියේ නාදගම පටන් ගන්න ඔන්න මෙන්න තියලා. නුගගහ වටේට තිබ්බ සැරසිලි දිහා බලාගෙන මං කෙලින්ම ගියේ තෙල් බැම්ම ළඟට. පොඩ්ඩක් හොර ඇහෙන් වටපිට බැලුවේ උ ඹ ඇවිත් ඇති කියලා හිතලා. නාදගමට කෙසේවෙතත් ධනිත් ශ්‍රී ගේ සිංදු වලට වහ වැටිලා ඉන්න තරමටම මං විශ්වාස කළා උඹ අද එවී කියලා. ලොකු පොඩි ජෝඩු දිහා බලාගෙනම තෙල් බැම්ම උඩින් මං වාඩි වුණේ අහස දිහාත් බලාගෙනමයි. අහස හිතපු තරම් ලස්සන නෑ. වැහි වළාවක් අහස පුරාම.

ඔළු පොඩ්ඩ පොඩ්ඩ වැඩි වෙද්දී ඝෝෂාවත් එන්න එන්නම වැඩි වෙද්දී,.මං මගේම මනෝ ලෝකෙක තනි වුණා. නාදගමත් පටන් ගත්තා. මතකත් ඇවිස්සෙන්න ගත්තා. 

දෑත දරා ඇවිදින් ආදරයෙන් මා වෙනුවෙන් හිඳිනා අයුරු

ධනිත් ශ්‍රී එහෙම කියද්දී ඒ වචන උ ඹේ හඬින් ඇහෙන්න ගත්තා. බැම්මට අත් දෙකෙන් බර දීලා ධනිත් එක්ක මාත් ඒ තාලෙට දෙපැත්තට පැද්දුණා. උ ඹේ ළඟ මගේ දැහැන බිඳින හැටි මතක් වෙනවා. සිහියක් නැතිව උ ඹට ප්‍රේම කරපු හැටි මතක් වෙනවා. 

වෙන් වී යන බව දැන දැනම 
තාම හිත ඉල්ලන ඔය දෑත 
අහස් ගුගුරා කිව් ඒ පුවත
තේරුණා මට නම් කල් ඇතිව

දිනේෂ් කාංචනා වචන ගළපද්දී ඒ වචන මං මට ගළපන්නේ හිත රිදෙන බව දැන දැනමයි.

සංවේදී වචන, ආදරණීය කටහඬක් එක්ක කන හරහා රිදෙන හදවත පාසාරු කරගෙන යද්දී ඇස් වලට දරාගන්න අමාරුයි. කඳුළු පිහින්න මට ඕනි වුණේ නෑ. රුහුණ මාව හුළඟක් එක්ක සනසනවා. 

ප්‍රේමයට නිර්වචනයක් මා නොදනිමි. නමුත්,

රිදෙන බව දැන දැනම අවුස්සන මතක, ප්‍රේමය යැයි සිතමි.

වැට කඬුලු දමා අහුරා ඇති පාර දෙස බලා සිටීමම, ප්‍රේමය යැයි සිතමි.

ගන්නා හුස්මක පවා රැඳි නාමය සිහි කිරීම, ප්‍රේමය යැයි සිතමි.

නාදගම ඇසූ පමණින් මාව සිහි වන්නටද පතමි.

අහස් ගව්ව, මං එදාටත් එනවා.

💛✨

#sachinikarunarathna 
#universityofruhuna 
#nadagama",52094634410,Shanika Dunya,dunya12897,https://www.instagram.com/p/CvEluLwtxUF/,0,0,2023-07-24T07:27:35.000Z,"['sachinikarunarathna', 'universityofruhuna', 'nadagama']"
3156173740235107851,"#නාදගම #මාතර 
2023.07.22

#nadagama #music #uor ❤️",7018951677,Nimesh Karunaratne,nimesh_karunaratne,https://www.instagram.com/p/CvM-0tsIS4L/,28,167,2023-07-27T13:40:50.000Z,"['නාදගම', 'මාතර', 'nadagama', 'music', 'uor']"
3163431042183565175,"2023.07.22
forever නාදගම gang 🥰❤
.
.
.
.
.
.
.
.
.
.
.
#නාදගම #2023 #matara #ruhunauniversity #ruhuna #nadagama #music #uor #goodvibes #besttimes #goodlife #beautiful #beautifulmemories #beautifulsrilanka #travelphotography #photography #travel #sisters #",9132052856,Hirusha Hewagamage,hirusha_hewagamage,https://www.instagram.com/p/Cvmw8W0y493/,1,60,2023-08-06T13:59:48.000Z,"['නාදගම', '2023', 'matara', 'ruhunauniversity', 'ruhuna', 'nadagama', 'music', 'uor', 'goodvibes', 'besttimes', 'goodlife', 'beautiful', 'beautifulmemories', 'beautifulsrilanka', 'travelphotography', 'photography', 'travel', 'sisters']"
3153023417661574875,#nadagama #trveldiaries #matara #universitrofruhuna #beautifuldestinations #beautifulsrilanka🇱🇰 #travelphotography #travelsrilanka,1725593546,Raveena Senathilaka,_raveenasenathilake_,https://www.instagram.com/p/CvByhfKNM7bYIczzN_01MkcCzuJeiTz1qNptug0/,0,14,2023-07-23T05:21:43.000Z,"['nadagama', 'trveldiaries', 'matara', 'universitrofruhuna', 'beautifuldestinations', 'beautifulsrilanka🇱🇰', 'travelphotography', 'travelsrilanka']"
3222883821857020223,"Nadagama 🎶❤️
.
.
.
#nadagama #instagram #instagood #nightout #like #follow #photography #photooftheday #instadaily #likeforlikes #picoftheday #fashion #instalike #beautiful #bhfyp #followforfollowback #likes #art  #me #followme #smile #happy #insta #nature #style #life #myself #music #likeforfollow",47937756411,Ravishka Karunarathne,_.ravishka._r,https://www.instagram.com/p/Cy5-8KqJBk_/,14,230,2023-10-27T14:41:52.000Z,"['nadagama', 'instagram', 'instagood', 'nightout', 'like', 'follow', 'photography', 'photooftheday', 'instadaily', 'likeforlikes', 'picoftheday', 'fashion', 'instalike', 'beautiful', 'bhfyp', 'followforfollowback', 'likes', 'art', 'me', 'followme', 'smile', 'happy', 'insta', 'nature', 'style', 'life', 'myself', 'music', 'likeforfollow']"
3152701413207938649,"Hands together 🫶♥️ 

#Nadagama #happyday #feeling",7089987279,Navodya Liyanage,navo_liyanz,https://www.instagram.com/p/CvApTtJIZZZ/,0,6,2023-07-22T18:41:57.000Z,"['Nadagama', 'happyday', 'feeling']"
3153013133044327867,"කමුද ?

#sweets #lankansweets #lankanfoods #poltofee #coconuttofee #lk #srilanka #downsouth #matara #nadagama #southfoods",36666045642,Supun’s Diary,supuns_diary,https://www.instagram.com/p/CvBwL03P6W7/,0,7,2023-07-23T05:01:17.000Z,"['sweets', 'lankansweets', 'lankanfoods', 'poltofee', 'coconuttofee', 'lk', 'srilanka', 'downsouth', 'matara', 'nadagama', 'southfoods']"
3152495228170318671,#nadagama,4331547305,Anjana kavinda,_anji_kavi_,https://www.instagram.com/p/Cu_6bUXNLNP/,0,24,2023-07-22T11:52:18.000Z,['nadagama']
3153337725663659843,#nadagama #srilanka #srilankatravel #music #matara #fyp #foryoupage #followforfollowback #vintel_23 #vintel,60844425885,Vintel,vintel_23,https://www.instagram.com/p/CvC5_RTBUdD/,0,8,2023-07-23T15:46:11.000Z,"['nadagama', 'srilanka', 'srilankatravel', 'music', 'matara', 'fyp', 'foryoupage', 'followforfollowback', 'vintel_23', 'vintel']"
3224292266198159259,"නාදගම 2023 😊
#perth #nadagama",2871985588,danushki anton,anton_danushki,https://www.instagram.com/p/Cy-_Luqx8-b/,0,46,2023-10-29T13:20:12.000Z,"['perth', 'nadagama']"
3107675601747176115,"දවසක යනවා
විදින්නම ඕන හැගීමක් 😍❤️
#nadagama",5745143348,Uditha_Jeewantha,uditha_jeewantha,https://www.instagram.com/p/Csgrn6fSeqz/,0,2,2023-05-21T15:43:43.000Z,['nadagama']
