hospital_location_id,division,hospital,hospital_longitude,hospital_latitude
hospital_001,monaragala,Monaragala District General Hospital,6.891431852,81.34258248
hospital_002,monaragala,Monaragala Nursing Home,6.875874936,81.34910605
hospital_003,buttala,Hingurukaduwa Divisional Hospital,6.827138232,81.16325088
hospital_004,wellawaya,Wellawaya Base Hospital,6.731128954,81.09834212
hospital_005,wellawaya,Handapanagala Divisional Hospital,6.653720894,81.11615776
hospital_006,buttala,Buttala General Hospital,6.757462716,81.23988324
hospital_007,wellawaya,Charaka Medicare Hospital,6.622527288,81.12558311
hospital_008,badalkumbura,Badalkumbura Divisional Hospital,6.894589588,81.23215505
hospital_009,monaragala,SAHANA Medical Center,6.871889176,81.35046232
