city_location_id,city,city_longitude,city_latitude,division
city_001,Buttala town,6.76009085,81.24729253,buttala
city_002,Wellawaya town,6.731989454,81.10190409,wellawaya
city_003,Monaragala town,6.87277456,81.35066107,monaragala
city_004,Badalkumbura town,6.895542265,81.23636665,badalkumbura
