police_location_id,division,police_station,police_longitude,police_latitude
plc_001,monaragala,Monaragala Police Station,6.870909187,81.34817413
plc_002,monaragala,Dombagahawela Police Station,6.897671081,81.43355331
plc_003,buttala,Buttala Police Station,6.762525895,81.25041757
plc_004,buttala,Hingurukaduwa Police Station,6.813111618,81.16866211
plc_005,badalkumbura,Badalkubura Police Station,6.889096006,81.23546394
plc_006,wellawaya,Wellawaya Police Station,6.740335997,81.09801662
plc_007,wellawaya,Kuda Oya Police Station,6.532225666,81.13138929
