location_id,division,longitude,latitude,dist_to_main_road,population_density,student_density,nearest_school_name,school_distance,nearest_police_station,police_distance,nearest_hospital_name,hospital_distance,nearest_city_name,city_distance,annual_precipitation,avg_high_temp,sunshine_hours
lcn_001,buttala,6.761014259,81.24892995,2,74.66,25.722925457102672,Dutugemunu College,0.23408067094203916,Buttala Police Station,0.16809306121561332,Buttala General Hospital,1.012029134166601,Buttala town,0.18351927311267852,398.41,27.34,10.94
lcn_002,buttala,6.762942975,81.25075853,2,74.66,25.722925457102672,Dutugemunu College,0.4381548743830888,Buttala Police Station,0.03872799107029657,Buttala General Hospital,1.2179878791326166,Buttala town,0.3900630654045559,398.41,27.34,10.94
lcn_003,buttala,6.769758284,81.24657536,1200,74.66,25.722925457102672,Dutugemunu College,0.1368050342160846,Buttala Police Station,0.44630611355728583,Buttala General Hospital,0.7759868430430035,Buttala town,0.18278434718120284,398.41,27.34,10.94
lcn_004,buttala,6.757871109,81.23163512,250,74.66,25.722925457102672,Dutugamunu model primary school,0.3871064439374166,Buttala Police Station,2.098888382366849,Buttala General Hospital,0.9210753878100497,Buttala town,1.7488360637197424,398.41,27.34,10.94
lcn_005,buttala,6.755652098,81.22596693,170,74.66,25.722925457102672,Yudhaganawa Kanishta Vidyalaya,0.3051417112517981,Buttala Police Station,2.7328519752625855,Buttala General Hospital,1.5543087000026814,Buttala town,2.3825797451601174,398.41,27.34,10.94
lcn_006,buttala,6.755686264,81.24931924,550,74.66,25.722925457102672,Dutugemunu College,0.2964887192276238,Buttala Police Station,0.1689572682374045,Buttala General Hospital,1.0541302740813372,Buttala town,0.23837411277099432,398.41,27.34,10.94
lcn_007,buttala,6.748376482,81.20318443,10,74.66,25.722925457102672,Pelwatta Nawodya School,0.9950554274478931,Hingurukaduwa Police Station,4.011044308203776,Buttala General Hospital,4.100996570312548,Buttala town,4.929492447069314,398.41,27.34,10.94
lcn_008,buttala,6.750681363,81.19140121,550,74.66,25.722925457102672,Pelwatta Nawodya School,0.325121507194631,Hingurukaduwa Police Station,2.755103587763574,Hingurukaduwa Divisional Hospital,3.4053991108825015,Buttala town,6.243314970631144,398.41,27.34,10.94
lcn_009,buttala,6.744689413,81.18941696,77,74.66,25.722925457102672,Pelwatta Nawodya School,0.5446973895806847,Hingurukaduwa Police Station,2.5970499102649134,Hingurukaduwa Divisional Hospital,3.2454029253345142,Buttala town,6.46816296951705,398.41,27.34,10.94
lcn_010,buttala,6.761902701,81.25234285,3,74.66,25.722925457102672,Dutugemunu College,0.6147114353951966,Buttala Police Station,0.21525238573969585,Buttala General Hospital,1.39338288654528,Buttala town,0.5647979436982583,398.41,27.34,10.94
lcn_011,monaragala,6.884563173,81.34675254,3,173.1,60.62587412587413,Mahanama Primary School,0.1846950089979757,Monaragala Police Station,0.2789848025861702,Monaragala Nursing Home,0.30063067999432697,Monaragala town,0.4792901888720046,380.12,26.08,10.44
lcn_012,monaragala,6.887387204,81.34685099,140,173.1,60.62587412587413,Mahanama Primary School,0.22743876619346243,Monaragala Police Station,0.3138234162903919,Monaragala Nursing Home,0.317527946048075,Monaragala town,0.49120799465378673,380.12,26.08,10.44
lcn_013,monaragala,6.860299473,81.34246612,150,173.1,60.62587412587413,Royal college Monaragala,0.2165115128461857,Monaragala Police Station,0.6618752866495727,Monaragala District General Hospital,0.5235491825677915,Monaragala town,0.9388206478789584,380.12,26.08,10.44
lcn_014,monaragala,6.851213286,81.33672048,97,173.1,60.62587412587413,Vipulananda Tamil National School,0.35210101177955044,Monaragala Police Station,1.3211781843256254,Monaragala District General Hospital,0.9412599981834128,Monaragala town,1.5983571478336347,380.12,26.08,10.44
lcn_015,monaragala,6.850685193,81.33098492,250,173.1,60.62587412587413,Waradola k.v.,0.2589451005873444,Monaragala Police Station,1.9493907707098739,Monaragala District General Hospital,1.465299915178583,Monaragala town,2.228377645991769,380.12,26.08,10.44
lcn_016,monaragala,6.847529028,81.32673427,2,173.1,60.62587412587413,Waradola k.v.,0.43975851116053544,Monaragala Police Station,2.4262419424661497,Monaragala District General Hospital,1.9177427883192277,Monaragala town,2.705395164018825,380.12,26.08,10.44
lcn_017,monaragala,6.882959254,81.34650136,65,173.1,60.62587412587413,Mahanama Primary School,0.1720349028318272,Monaragala Police Station,0.27547557433270403,Monaragala Nursing Home,0.3142737563332756,Monaragala town,0.4950194181820077,380.12,26.08,10.44
lcn_018,monaragala,6.88422452,81.34500221,140,173.1,60.62587412587413,Mahanama Primary School,0.30646997207172116,Monaragala Police Station,0.41895535992936006,Monaragala District General Hospital,0.2961238194358868,Monaragala town,0.6605500821510472,380.12,26.08,10.44
lcn_019,monaragala,6.861145626,81.33059234,1200,173.1,60.62587412587413,Waradola k.v.,0.09986970378131119,Monaragala Police Station,1.9701844519572504,Monaragala District General Hospital,1.4325866008700652,Monaragala town,2.249557778635632,380.12,26.08,10.44
lcn_020,monaragala,6.864073256,81.34612707,450,173.1,60.62587412587413,Mahanama Primary School,0.21384521184233954,Monaragala Police Station,0.2558275014281917,Monaragala Nursing Home,0.38727307913625375,Monaragala town,0.5269862873501424,380.12,26.08,10.44
lcn_021,badalkumbura,6.893974319,81.23457456,350,174.4,60.004347826086956,Nissanka Central College,0.3530559019411014,Badalkubura Police Station,0.1294461556022533,Badalkumbura Divisional Hospital,0.2703841616318576,Badalkumbura town,0.20188978021302617,377.22,25.88,10.36
lcn_022,badalkumbura,6.894629106,81.23909634,150,174.4,60.004347826086956,Nissanka Central College,0.1590734716661528,Badalkubura Police Station,0.4164037367518424,Badalkumbura Divisional Hospital,0.7751186625867282,Badalkumbura town,0.30521409545856837,377.22,25.88,10.36
lcn_023,badalkumbura,6.897805638,81.23807671,15,174.4,60.004347826086956,Nissanka Central College,0.10431753371659679,Badalkubura Police Station,0.3272428218335879,Badalkumbura Divisional Hospital,0.6635198057250784,Badalkumbura town,0.19480305380249183,377.22,25.88,10.36
lcn_024,badalkumbura,6.899809971,81.24140084,230,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.037000706738388366,Badalkubura Police Station,0.6875597073953068,Badalkumbura Divisional Hospital,1.0362708565808327,Badalkumbura town,0.5668253894119334,377.22,25.88,10.36
lcn_025,badalkumbura,6.90408871,81.24181045,750,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.09871881890262643,Badalkubura Police Station,0.7531991169629857,Badalkumbura Divisional Hospital,1.0902441955629838,Badalkumbura town,0.625040146192666,377.22,25.88,10.36
lcn_026,badalkumbura,6.884608104,81.23582936,1300,174.4,60.004347826086956,Nissanka Central College,0.2472303660529919,Badalkubura Police Station,0.08659086013665107,Badalkumbura Divisional Hospital,0.4440846770466955,Badalkumbura town,0.1954978395277926,377.22,25.88,10.36
lcn_027,badalkumbura,6.89819896,81.24009316,2,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.11962647515229546,Badalkubura Police Station,0.5396361236826048,Badalkumbura Divisional Hospital,0.8885563447094517,Badalkumbura town,0.4185784329850954,377.22,25.88,10.36
lcn_028,badalkumbura,6.89812147,81.24083432,10,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.05225360590430991,Badalkubura Police Station,0.6190438126845207,Badalkumbura Divisional Hospital,0.9710562826130358,Badalkumbura town,0.5008205766745557,377.22,25.88,10.36
lcn_029,badalkumbura,6.896807597,81.23402202,150,174.4,60.004347826086956,Nissanka Central College,0.4209556382524657,Badalkubura Police Station,0.20772984646767004,Badalkumbura Divisional Hospital,0.2118716073174728,Badalkumbura town,0.2627036623054858,377.22,25.88,10.36
lcn_030,badalkumbura,6.887610306,81.23558743,950,174.4,60.004347826086956,Nissanka Central College,0.25063512063071286,Badalkubura Police Station,0.028799467048323944,Badalkumbura Divisional Hospital,0.40127348855171296,Badalkumbura town,0.16059388060056937,377.22,25.88,10.36
lcn_031,wellawaya,6.730448641,81.09760354,350,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.5079257117662707,Wellawaya Police Station,0.17699981802700637,Wellawaya Base Hospital,0.0833088464921157,Wellawaya town,0.48096679540118276,386.04,26.49,10.6
lcn_032,wellawaya,6.729496176,81.09339855,10,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.8583566188430647,Wellawaya Police Station,0.5486769310383451,Wellawaya Base Hospital,0.5527544170426679,Wellawaya town,0.9507647140970544,386.04,26.49,10.6
lcn_033,wellawaya,6.731264735,81.10288332,79,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.5362397123703874,Wellawaya Police Station,0.5655993862831822,Wellawaya Base Hospital,0.5071074358951357,Wellawaya town,0.11006194956640127,386.04,26.49,10.6
lcn_034,wellawaya,6.733185833,81.1050587,20,104.1,36.476603119584055,Yalabowa Primary School,0.41823937057587857,Wellawaya Police Station,0.7960104783355967,Wellawaya Base Hospital,0.7508613988215094,Wellawaya town,0.3528713280341525,386.04,26.49,10.6
lcn_035,wellawaya,6.731987376,81.11599,150,104.1,36.476603119584055,Malwaththawala National School,0.07587027872839253,Wellawaya Police Station,2.012202787272537,Handapanagala Divisional Hospital,1.35006032102926,Wellawaya town,1.5729314884914884,386.04,26.49,10.6
lcn_036,wellawaya,6.740012479,81.09719165,9,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.40856083177457286,Wellawaya Police Station,0.09229141615867545,Wellawaya Base Hospital,0.2001934645689442,Wellawaya town,0.544179474383038,386.04,26.49,10.6
lcn_037,wellawaya,6.739482282,81.09881074,40,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.3069902404289978,Wellawaya Police Station,0.08989592550193848,Wellawaya Base Hospital,0.15355053002087113,Wellawaya town,0.36888868630994115,386.04,26.49,10.6
lcn_038,wellawaya,6.720798882,81.10415852,5,104.1,36.476603119584055,Yalabowa Primary School,0.3409199979828116,Wellawaya Police Station,0.7644070260828199,Wellawaya Base Hospital,0.6735727522169546,Wellawaya town,0.31739336341285435,386.04,26.49,10.6
lcn_039,wellawaya,6.733871691,81.10916428,150,104.1,36.476603119584055,Mahawelamulla Muslim Maha vidyalaya,0.21570163429927364,Wellawaya Police Station,1.249822596203734,Wellawaya Base Hospital,1.2094060442095917,Wellawaya town,0.811374852703352,386.04,26.49,10.6
lcn_040,wellawaya,6.729064367,81.10018643,400,104.1,36.476603119584055,Wellawaya Kumaradasa M.V.,0.46149517760046005,Wellawaya Police Station,0.31088043264689935,Wellawaya Base Hospital,0.20901577370124644,Wellawaya town,0.19835170948169015,386.04,26.49,10.6
lcn_041,buttala,6.739105004,81.23382844,180,74.66,25.722925457102672,Dutugamunu model primary school,0.21612131168463597,Buttala Police Station,1.8948019651048709,Buttala General Hospital,0.7447925757038074,Buttala town,1.5452918898310508,398.41,27.34,10.94
lcn_042,buttala,6.738046941,81.22762271,90,74.66,25.722925457102672,Yudhaganawa Kanishta Vidyalaya,0.4859735157144126,Buttala Police Station,2.579287516029596,Buttala General Hospital,1.408427591926271,Buttala town,2.228276185563922,398.41,27.34,10.94
lcn_043,buttala,6.748528244,81.20304219,6,74.66,25.722925457102672,Pelwatta Nawodya School,0.9792116378429376,Hingurukaduwa Police Station,3.9950641389497012,Buttala General Hospital,4.116772425716833,Buttala town,4.945259446898486,398.41,27.34,10.94
lcn_044,buttala,6.774140332,81.26475338,210,74.66,25.722925457102672,Waguruwela Maha Vidyalaya,1.8355609926526513,Buttala Police Station,1.6129450255235325,Buttala General Hospital,2.7916054128862604,Buttala town,1.9643531544962127,398.41,27.34,10.94
lcn_045,buttala,6.788776198,81.27616632,350,74.66,25.722925457102672,Katugahagalge Secondary Collage,3.0621242039681555,Buttala Police Station,2.909590077247053,Buttala General Hospital,4.086371837284739,Buttala town,3.260804662729495,398.41,27.34,10.94
lcn_046,buttala,6.798312249,81.28620071,450,74.66,25.722925457102672,Katugahagalge Secondary Collage,4.174282524666251,Buttala Police Station,4.041633236688217,Buttala General Hospital,5.21839609669437,Buttala town,4.3928750461651545,398.41,27.34,10.94
lcn_047,buttala,6.735444328,81.2519029,3000,74.66,25.722925457102672,Waguruwela Maha Vidyalaya,0.34535304582828286,Buttala Police Station,0.489040035842381,Buttala General Hospital,1.3934132210086403,Buttala town,0.6636352177171309,398.41,27.34,10.94
lcn_048,buttala,6.763764785,81.23684596,1100,74.66,25.722925457102672,Dutugamunu model primary school,0.32406991573685584,Buttala Police Station,1.5156584343381665,Buttala General Hospital,0.355708355708339,Buttala town,1.168217369054293,398.41,27.34,10.94
lcn_049,buttala,6.766578352,81.23644844,1100,74.66,25.722925457102672,Dutugamunu model primary school,0.3354542225224563,Buttala Police Station,1.5614232287068368,Buttala General Hospital,0.41372212182464646,Buttala town,1.2159509550676357,398.41,27.34,10.94
lcn_050,buttala,6.757943503,81.25768407,1100,74.66,25.722925457102672,Waguruwela Maha Vidyalaya,1.0392408986647617,Buttala Police Station,0.8151576175673486,Buttala General Hospital,1.987797155943675,Buttala town,1.1609741875495982,398.41,27.34,10.94
lcn_051,buttala,6.766945326,81.25110017,600,74.66,25.722925457102672,Dutugemunu College,0.48361443149014793,Buttala Police Station,0.1069910736512601,Buttala General Hospital,1.262899348428443,Buttala town,0.44085383106292764,398.41,27.34,10.94
lcn_052,buttala,6.74158574,81.17575794,2,74.66,25.722925457102672,Pelwatta Nawodya School,2.0702437338063535,Hingurukaduwa Police Station,1.4597178821664956,Hingurukaduwa Divisional Hospital,2.0253557293393714,Buttala town,7.99433659529167,398.41,27.34,10.94
lcn_053,buttala,6.758348352,81.25300232,750,74.66,25.722925457102672,Dutugemunu College,0.6909874748045779,Buttala Police Station,0.2972288249439359,Buttala General Hospital,1.4650565753774227,Buttala town,0.6382869172147573,398.41,27.34,10.94
lcn_054,buttala,6.774730787,81.25421091,1300,74.66,25.722925457102672,Katugahagalge Secondary Collage,0.7653957066895528,Buttala Police Station,0.4716013271884776,Buttala General Hospital,1.626634322715056,Buttala town,0.8116076014168546,398.41,27.34,10.94
lcn_055,buttala,6.759551935,81.23980089,240,74.66,25.722925457102672,Dutugamunu model primary school,0.5745928693281213,Buttala Police Station,1.1866190062427204,Buttala General Hospital,0.036707119471089955,Buttala town,0.836625257445596,398.41,27.34,10.94
lcn_056,badalkumbura,6.901326729,81.23776058,700,174.4,60.004347826086956,Nissanka Central College,0.156544482231937,Badalkubura Police Station,0.3302783642001909,Badalkumbura Divisional Hospital,0.6363716095776585,Badalkumbura town,0.18416292237111764,377.22,25.88,10.36
lcn_057,badalkumbura,6.884731336,81.25676826,1100,174.4,60.004347826086956,Eththalamulla Vidyalaya,1.055965780611565,Badalkubura Police Station,2.3801636944968156,Badalkumbura Divisional Hospital,2.7536085800080548,Badalkumbura town,2.2856017015557755,377.22,25.88,10.36
lcn_058,badalkumbura,6.888742923,81.24217067,1100,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.2356169849203862,Badalkubura Police Station,0.7489497917055599,Badalkumbura Divisional Hospital,1.1228374468018558,Badalkumbura town,0.6583613794942768,377.22,25.88,10.36
lcn_059,badalkumbura,6.906320696,81.23740106,1200,174.4,60.004347826086956,Nissanka Central College,0.2441332688067708,Badalkubura Police Station,0.36427644607066056,Badalkumbura Divisional Hospital,0.61889873139017,Badalkumbura town,0.21674216267591206,377.22,25.88,10.36
lcn_060,badalkumbura,6.901124736,81.23936619,500,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.19335422062624488,Badalkubura Police Station,0.4814231500208259,Badalkumbura Divisional Hospital,0.8128951673417886,Badalkumbura town,0.3481570518517604,377.22,25.88,10.36
lcn_061,badalkumbura,6.900977204,81.23822137,600,174.4,60.004347826086956,Nissanka Central College,0.16047042414265686,Badalkubura Police Station,0.3683500727445601,Badalkumbura Divisional Hospital,0.6860793550589945,Badalkumbura town,0.22681865371983412,377.22,25.88,10.36
lcn_062,badalkumbura,6.903585119,81.24205359,700,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.11785429414856788,Badalkubura Police Station,0.7760357318672653,Badalkumbura Divisional Hospital,1.1158945151672839,Badalkumbura town,0.6496185628754441,377.22,25.88,10.36
lcn_063,badalkumbura,6.90390867,81.25055549,800,174.4,60.004347826086956,Sri Pemananda Madya Maha Vidyalaya,0.801036151019236,Badalkubura Police Station,1.7039575894751224,Badalkumbura Divisional Hospital,2.0608398054206853,Badalkumbura town,1.590809531652984,377.22,25.88,10.36
lcn_064,badalkumbura,6.892443904,81.24086187,800,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.14228567977332163,Badalkubura Police Station,0.6054598678413005,Badalkumbura Divisional Hospital,0.972956500049877,Badalkumbura town,0.5047310040414408,377.22,25.88,10.36
lcn_065,badalkumbura,6.888002197,81.26443935,750,174.4,60.004347826086956,Eththalamulla Vidyalaya,1.8676741308141553,Badalkubura Police Station,3.235675229339917,Badalkumbura Divisional Hospital,3.6068556829190537,Badalkumbura town,3.1374344419672915,377.22,25.88,10.36
lcn_066,badalkumbura,6.890164398,81.23927662,700,174.4,60.004347826086956,Nissanka Central College,0.1766028254287204,Badalkubura Police Station,0.426141394357798,Badalkumbura Divisional Hospital,0.7988073749659885,Badalkumbura town,0.3375854221035089,377.22,25.88,10.36
lcn_067,badalkumbura,6.890164398,81.23927662,800,174.4,60.004347826086956,Nissanka Central College,0.1766028254287204,Badalkubura Police Station,0.426141394357798,Badalkumbura Divisional Hospital,0.7988073749659885,Badalkumbura town,0.3375854221035089,377.22,25.88,10.36
lcn_068,badalkumbura,6.888977161,81.24202749,1100,174.4,60.004347826086956,Maligathenna Maha Vidyalaya,0.22435584449322765,Badalkubura Police Station,0.7329398975335768,Badalkumbura Divisional Hospital,1.1065616374655916,Badalkumbura town,0.6419225692378402,377.22,25.88,10.36
lcn_069,badalkumbura,6.90021986,81.2340453,550,174.4,60.004347826086956,Nissanka Central College,0.4332200924442565,Badalkubura Police Station,0.24685606442194818,Badalkumbura Divisional Hospital,0.231819552355419,Badalkumbura town,0.27116785739250737,377.22,25.88,10.36
lcn_070,badalkumbura,6.888799507,81.23978938,900,174.4,60.004347826086956,Nissanka Central College,0.23752207725489027,Badalkubura Police Station,0.48303862963835625,Badalkumbura Divisional Hospital,0.8581835592726552,Badalkumbura town,0.39905231643692096,377.22,25.88,10.36
lcn_071,monaragala,6.872366412,81.35768188,600,173.1,60.62587412587413,Hulandawa south primary school,0.9502712513842422,Monaragala Police Station,1.0619977400332763,SAHANA Medical Center,0.8062370174100821,Monaragala town,0.7840330438553776,380.12,26.08,10.44
lcn_072,monaragala,6.882684029,81.34026409,750,173.1,60.62587412587413,Royal college Monaragala,0.3793822916812629,Monaragala Police Station,0.9052030976267595,Monaragala District General Hospital,0.2977553820943744,Monaragala town,1.1728978527464897,380.12,26.08,10.44
lcn_073,monaragala,6.87888109,81.33903934,1200,173.1,60.62587412587413,Royal college Monaragala,0.35553131514598646,Monaragala Police Station,1.0288317621405596,Monaragala District General Hospital,0.448422278577957,Monaragala town,1.3018321697351527,380.12,26.08,10.44
lcn_074,monaragala,6.881825284,81.34991741,270,173.1,60.62587412587413,Mahanama Central College,0.2095169963160489,Monaragala Police Station,0.2674410285187378,Monaragala Nursing Home,0.13490745189967857,Monaragala town,0.17322545240168258,380.12,26.08,10.44
lcn_075,monaragala,6.884896898,81.34822136,350,173.1,60.62587412587413,Mahanama Central College,0.13894949404884022,Monaragala Police Station,0.23506333561021153,Monaragala Nursing Home,0.1809215837204105,Monaragala town,0.3401326006760366,380.12,26.08,10.44
lcn_076,monaragala,6.886340577,81.34227228,350,173.1,60.62587412587413,Royal college Monaragala,0.4809234168822052,Monaragala Police Station,0.7082431354297352,Monaragala District General Hospital,0.09233748768471259,Monaragala town,0.9641020096498191,380.12,26.08,10.44
lcn_077,monaragala,6.886340577,81.34227228,350,173.1,60.62587412587413,Royal college Monaragala,0.4809234168822052,Monaragala Police Station,0.7082431354297352,Monaragala District General Hospital,0.09233748768471259,Monaragala town,0.9641020096498191,380.12,26.08,10.44
lcn_078,monaragala,6.871999945,81.34475622,600,173.1,60.62587412587413,Mahanama Primary School,0.2855324886854974,Monaragala Police Station,0.3821124811169741,Monaragala District General Hospital,0.4069590671802083,Monaragala town,0.6595137605051525,380.12,26.08,10.44
lcn_079,monaragala,6.866975954,81.35400531,900,173.1,60.62587412587413,Mahanama Central College,0.6669334212232058,Monaragala Police Station,0.6545010824436481,SAHANA Medical Center,0.4041518280870141,Monaragala town,0.3859324458924983,380.12,26.08,10.44
lcn_080,monaragala,6.866936555,81.35575343,800,173.1,60.62587412587413,Hulandawa south primary school,0.7885212620459714,Monaragala Police Station,0.8489940078464291,SAHANA Medical Center,0.5966737797193148,Monaragala town,0.5770432097776906,380.12,26.08,10.44
lcn_081,monaragala,6.852047633,81.33694493,2,173.1,60.62587412587413,Vipulananda Tamil National School,0.37754212481172417,Monaragala Police Station,1.293418226521271,Monaragala District General Hospital,0.9137777395895239,Monaragala town,1.57078510760756,380.12,26.08,10.44
lcn_082,monaragala,6.852047633,81.33694493,2,173.1,60.62587412587413,Vipulananda Tamil National School,0.37754212481172417,Monaragala Police Station,1.293418226521271,Monaragala District General Hospital,0.9137777395895239,Monaragala town,1.57078510760756,380.12,26.08,10.44
lcn_083,monaragala,6.858867412,81.33322991,2,173.1,60.62587412587413,Vipulananda Tamil National School,0.13723717608314273,Monaragala Police Station,1.681036417778902,Monaragala District General Hospital,1.179311660307351,Monaragala town,1.9605027014456171,380.12,26.08,10.44
lcn_084,monaragala,6.865329363,81.34719004,250,173.1,60.62587412587413,Mahanama Primary School,0.1490322406148754,Monaragala Police Station,0.14444867992019672,Monaragala Nursing Home,0.27779274186690567,Monaragala town,0.4072847656686952,380.12,26.08,10.44
lcn_085,monaragala,6.872931088,81.34475748,650,173.1,60.62587412587413,Mahanama Primary School,0.2838153676960925,Monaragala Police Station,0.3830417566912054,Monaragala District General Hospital,0.39459322248876005,Monaragala town,0.6592498740421922,380.12,26.08,10.44
lcn_086,wellawaya,6.714374579,81.10928486,550,104.1,36.476603119584055,Mahawelamulla Muslim Maha vidyalaya,0.1353458938286046,Wellawaya Police Station,1.3357983850743333,Wellawaya Base Hospital,1.2557391103396185,Wellawaya town,0.8785264165140905,386.04,26.49,10.6
